Date,dnn,negative,neutral,positive,signal
2012-01-30,1.809999942779541,,,,
2012-01-31,1.7200000286102295,,,,
2012-02-01,1.7599999904632568,0.0,0.5,0.5,0.5
2012-02-02,1.7799999713897705,,,,
2012-02-03,1.7699999809265137,0.0,1.0,0.0,0.0
2012-02-06,1.7999999523162842,,,,
2012-02-07,1.75,,,,
2012-02-08,1.7300000190734863,,,,
2012-02-09,1.8700000047683716,0.0,1.0,0.0,0.0
2012-02-10,1.8600000143051147,0.5,0.0,0.5,0.0
2012-02-13,1.7799999713897705,,,,
2012-02-14,1.7400000095367432,0.0,0.666666667,0.333333333,0.333333333
2012-02-15,1.7300000190734863,,,,
2012-02-16,1.7799999713897705,,,,
2012-02-17,1.850000023841858,0.0,1.0,0.0,0.0
2012-02-21,1.8700000047683716,0.166666667,0.833333333,0.0,-0.166666667
2012-02-22,1.9600000381469727,0.0,1.0,0.0,0.0
2012-02-23,1.9500000476837158,0.0,1.0,0.0,0.0
2012-02-24,1.940000057220459,0.0,0.0,1.0,1.0
2012-02-27,1.909999966621399,0.0,1.0,0.0,0.0
2012-02-28,1.9299999475479126,0.0,1.0,0.0,0.0
2012-02-29,1.940000057220459,0.0,1.0,0.0,0.0
2012-03-01,1.9299999475479126,0.0,0.5,0.5,0.5
2012-03-02,1.8600000143051147,0.0,1.0,0.0,0.0
2012-03-05,1.7100000381469727,0.0,1.0,0.0,0.0
2012-03-06,1.6100000143051147,0.142857143,0.857142857,0.0,-0.142857143
2012-03-07,1.690000057220459,0.5,0.5,0.0,-0.5
2012-03-08,1.7200000286102295,0.0,1.0,0.0,0.0
2012-03-09,1.559999942779541,0.043478261,0.608695652,0.347826087,0.304347826
2012-03-12,1.5099999904632568,0.0,0.0,1.0,1.0
2012-03-13,1.659999966621399,0.0,0.666666667,0.333333333,0.333333333
2012-03-14,1.6100000143051147,0.0,1.0,0.0,0.0
2012-03-15,1.5800000429153442,,,,
2012-03-16,1.5499999523162842,,,,
2012-03-19,1.5800000429153442,0.0,1.0,0.0,0.0
2012-03-20,1.5800000429153442,0.0,1.0,0.0,0.0
2012-03-21,1.649999976158142,0.0,1.0,0.0,0.0
2012-03-22,1.5800000429153442,0.125,0.75,0.125,0.0
2012-03-23,1.590000033378601,,,,
2012-03-26,1.590000033378601,0.0,1.0,0.0,0.0
2012-03-27,1.5800000429153442,,,,
2012-03-28,1.5499999523162842,,,,
2012-03-29,1.5199999809265137,0.0,1.0,0.0,0.0
2012-03-30,1.5299999713897705,0.166666667,0.666666667,0.166666667,0.0
2012-04-02,1.5199999809265137,0.0,1.0,0.0,0.0
2012-04-03,1.5299999713897705,,,,
2012-04-04,1.4800000190734863,,,,
2012-04-05,1.4900000095367432,0.0,1.0,0.0,0.0
2012-04-09,1.4199999570846558,0.0,1.0,0.0,0.0
2012-04-10,1.409999966621399,0.0,0.0,1.0,1.0
2012-04-11,1.340000033378601,,,,
2012-04-12,1.5399999618530273,,,,
2012-04-13,1.440000057220459,,,,
2012-04-16,1.4299999475479126,0.020408163,0.93877551,0.040816327,0.020408164
2012-04-17,1.7000000476837158,0.023809524,0.428571429,0.547619048,0.523809524
2012-04-18,1.7599999904632568,0.0,0.8,0.2,0.2
2012-04-19,1.7899999618530273,0.0,0.666666667,0.333333333,0.333333333
2012-04-20,1.8300000429153442,0.0,1.0,0.0,0.0
2012-04-23,1.7899999618530273,0.0,0.5,0.5,0.5
2012-04-24,1.809999942779541,0.25,0.5,0.25,0.0
2012-04-25,1.8200000524520874,0.0,1.0,0.0,0.0
2012-04-26,1.9199999570846558,,,,
2012-04-27,1.8700000047683716,0.0,0.0,1.0,1.0
2012-04-30,1.8300000429153442,,,,
2012-05-01,1.899999976158142,,,,
2012-05-02,1.9700000286102295,0.0,0.0,1.0,1.0
2012-05-03,1.8799999952316284,0.0,0.0,1.0,1.0
2012-05-04,1.7799999713897705,0.0,0.0,1.0,1.0
2012-05-07,1.7400000095367432,,,,
2012-05-08,1.600000023841858,0.0,0.083333333,0.916666667,0.916666667
2012-05-09,1.5800000429153442,0.0,0.277777778,0.722222222,0.722222222
2012-05-10,1.6399999856948853,0.0,0.875,0.125,0.125
2012-05-11,1.600000023841858,0.0,1.0,0.0,0.0
2012-05-14,1.5099999904632568,0.0,1.0,0.0,0.0
2012-05-15,1.4199999570846558,0.0,1.0,0.0,0.0
2012-05-16,1.350000023841858,0.0,1.0,0.0,0.0
2012-05-17,1.340000033378601,0.0,1.0,0.0,0.0
2012-05-18,1.399999976158142,0.0,1.0,0.0,0.0
