Date,hgen,negative,neutral,positive,signal
2019-05-31,6.25,0.125,0.5625,0.3125,0.1875
2019-06-03,6.25,0.0,1.0,0.0,0.0
2019-06-04,6.25,1.0,0.0,0.0,-1.0
2019-06-05,6.25,0.0,1.0,0.0,0.0
2019-06-06,5.800000190734863,,,,
2019-06-07,5.849999904632568,0.0,1.0,0.0,0.0
2019-06-10,5.849999904632568,0.0,1.0,0.0,0.0
2019-06-11,5.5,,,,
2019-06-12,5.25,,,,
2019-06-13,5.75,,,,
2019-06-14,5.699999809265137,,,,
2019-06-17,5.349999904632568,,,,
2019-06-18,5.349999904632568,,,,
2019-06-19,5.75,,,,
2019-06-20,4.699999809265137,,,,
2019-06-21,5.300000190734863,,,,
2019-06-24,5.5,0.0,1.0,0.0,0.0
2019-06-25,5.5,0.0,1.0,0.0,0.0
2019-06-26,5.75,,,,
2019-06-27,5.25,,,,
2019-06-28,5.5,,,,
2019-07-01,5.300000190734863,,,,
2019-07-02,5.599999904632568,0.0,0.727272727,0.272727273,0.272727273
2019-07-03,5.75,,,,
2019-07-05,5.75,,,,
2019-07-08,5.75,,,,
2019-07-09,5.75,,,,
2019-07-10,5.25,,,,
2019-07-11,5.400000095367432,,,,
2019-07-12,5.5,,,,
2019-07-15,5.5,,,,
2019-07-16,5.5,0.0,1.0,0.0,0.0
2019-07-17,5.300000190734863,,,,
2019-07-18,5.25,,,,
2019-07-19,5.25,,,,
2019-07-22,5.25,0.0,0.888888889,0.111111111,0.111111111
2019-07-23,5.150000095367432,0.0,1.0,0.0,0.0
2019-07-24,4.5,,,,
2019-07-25,4.5,0.0,1.0,0.0,0.0
2019-07-26,5.75,,,,
2019-07-29,4.25,,,,
2019-07-30,4.25,0.0,1.0,0.0,0.0
2019-07-31,4.25,0.4,0.6,0.0,-0.4
2019-08-01,4.849999904632568,0.0,1.0,0.0,0.0
2019-08-02,4.849999904632568,0.0,1.0,0.0,0.0
2019-08-05,5.75,,,,
2019-08-06,4.5,,,,
2019-08-07,4.5,0.0,0.0,1.0,1.0
2019-08-08,4.5,0.0,0.0,1.0,1.0
2019-08-09,4.5,0.0,1.0,0.0,0.0
2019-08-12,4.349999904632568,,,,
2019-08-13,5.5,0.0,0.0,1.0,1.0
2019-08-14,5.5,,,,
2019-08-15,5.0,,,,
2019-08-16,5.0,,,,
2019-08-19,5.5,,,,
2019-08-20,5.5,,,,
