Date,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI
2015-06-29,32.95335240775915,41.0431187497144,28.03971682870382,36.427899963262725,32.887740363173705,47.39370138026662,43.47673729636416,42.992341031551575
2015-06-30,32.953352407759155,39.36392963486112,32.89538990927448,39.53677321865586,34.27954784475208,42.97544898204175,45.56414481353916,51.33692875993726
2015-07-01,31.09886847123772,44.2744581286555,32.53170641133191,38.99631595457227,38.03571470965706,50.063376912711,51.4992434901921,52.21189620951642
2015-07-02,31.09886847123772,42.42447261727977,32.33917883594697,38.54240308968046,38.632091256830854,53.55124350687349,48.9829764839781,52.373466673999026
2015-07-06,24.660740658116907,40.59763280716039,25.13154960218119,38.925192735376044,36.76882958997184,56.53624224331671,48.763059148281826,54.36082384210329
2015-07-07,21.12795164845438,43.23023822067795,23.50194113492112,38.15734335455975,36.917794800928846,53.53682360133294,51.572932847028156,55.32772486817352
2015-07-08,21.12795164845438,37.8157069074349,19.009111295877496,34.8279217260042,30.05622826037328,48.19198750943638,42.564956005814444,44.2187283847289
2015-07-09,18.117806537980044,36.18862985579048,34.858402555591425,40.42591922094121,29.306703963580638,46.96781515973609,45.73028795640617,48.545615050770515
2015-07-10,18.117806537980048,39.01446870572429,42.542848664023836,39.08678982678249,40.140478784410305,48.03400110869816,52.742233448134456,53.91500439746787
2015-07-13,17.172008555601714,29.24983828697928,45.28129691700295,38.67291167293983,48.66711201649453,48.406352597797486,56.606523383889815,59.32584120944201
2015-07-14,16.258011343822087,28.833499233157394,45.70998419194607,43.00572615210753,51.16424368463382,48.035686809617914,60.714677867190844,65.07749814778732
2015-07-15,13.872482081773466,27.56584980629007,40.42351965180179,47.22214437568112,51.31139386945557,51.43950421993898,61.23470813451048,66.59771798390732
2015-07-16,22.080825611361046,24.82347891425712,45.46311100515673,49.702787148123555,57.069631083628636,49.587627287386645,63.127054712891514,69.49433804908408
2015-07-17,19.13493806665734,28.123737185386872,43.074608648686414,52.47826668413208,62.833972115780924,45.654205719084096,61.59790759335806,70.56998360778097
2015-07-20,15.438118086264868,26.32596189177171,43.53101770369203,47.23818070502885,64.49975246996922,44.51344828435863,63.016703137448836,70.72569909015478
2015-07-21,15.438118086264868,23.804811750173172,44.25304271299185,46.523491721951174,61.2994324589758,45.25008624456287,59.78179086371638,67.44225575334364
2015-07-22,14.77596860050995,25.719998195091776,41.049937591892466,43.34540306654681,52.96861349672503,44.4036294460909,60.86360361516249,66.07814534618602
2015-07-23,14.123601822668125,25.71999819509178,40.12992173602372,41.807594259334444,52.040937538962325,41.675086835267614,58.091978690009974,65.07708067524656
2015-07-24,12.897165953097083,24.30308180483365,38.637793969652776,38.53572811628074,48.43495698760355,36.153928024927154,43.47307808116492,47.82871370449577
2015-07-27,10.453297164375762,21.725259686748284,35.28238425887096,38.53572811628074,43.65694621566991,32.58925882295367,43.04774519029079,44.48257160016291
2015-07-28,17.211028018808122,23.473565261600935,39.17455704164608,42.69656451330935,48.97872264729443,36.95504470805829,52.666134721317235,52.17132927644014
2015-07-29,23.433648052675657,30.947868030473373,45.42787082961959,39.9651063370806,51.57823379994257,35.79015137345377,53.48090239499744,48.181305644365764
2015-07-30,29.16716069192396,25.569035725631466,40.72314114775621,38.54867305055548,52.760546086400495,40.41361624981651,52.65501343360789,49.108525175008836
2015-07-31,36.81081234179297,24.795528628088668,40.163215593191104,47.23392347676606,50.31787007434731,36.20263850915863,55.608021163960665,52.14787155066792
2015-08-03,39.167321814321646,24.661620672340977,39.77060819255164,44.5788337036406,47.1354395472287,34.74076903306788,55.1033145275701,52.31527980646015
2015-08-04,33.746147722287716,24.66162067234098,37.97184063457412,46.03085602344936,44.0432908744028,29.593154319148717,54.74655187703037,53.48581606261686
2015-08-05,33.746147722287716,23.7684130291384,45.36409651011199,48.45477856560257,49.621093833062524,30.51710927133761,59.28822626718993,55.89722985836085
2015-08-06,33.746147722287716,23.313743203685096,41.72280548077381,43.415028081602266,44.48217816807114,26.960887458722965,46.184964505566306,42.560319034473395
2015-08-07,32.348131875046704,21.40309731629237,39.51271208209446,44.19634459866547,44.97101361094769,24.541044994342457,45.34975504655088,40.770590547478044
2015-08-10,44.686883569223944,29.96196048378939,43.60702313790916,48.76735581547653,53.07822373013843,28.61809113021693,49.925793278188735,43.51869057897989
2015-08-11,39.97576055003276,27.294547999094686,39.49424140177891,48.767355815476535,45.28074527622257,26.484363359165958,45.61062688956856,40.40432829801826
2015-08-12,42.164535794332494,31.6624490141901,39.4942414017789,43.284686879540665,47.69799574562697,25.462132563172208,46.00324972990284,43.10890064780345
2015-08-13,39.09409750661239,30.670296424637105,39.06690688771278,53.394467991872695,46.5481840282045,25.3450792407594,44.81852420737359,40.402501122709175
2015-08-14,41.39216824022356,30.061627286311964,39.06690688771278,55.00157049453167,49.32544981416731,22.16300051764865,46.646416769948246,38.93552661034754
2015-08-17,41.39216824022357,33.38367482795024,39.82207006509386,57.74745639521992,52.58373102585258,33.082692608769676,52.746968639287914,46.73746856169402
2015-08-18,43.84930056971314,32.90279345451567,38.289004629012915,54.912139924150104,49.269559472321575,33.9381710043925,51.82334312121171,43.837572894838154
2015-08-19,38.61843562890153,31.20833805652804,35.584316389951034,46.05661528707453,45.24975351096716,32.59203093514787,49.20826691592913,41.98390411134464
